#  n	 avg
1000	124.7	# [216ms, 110ms, 95ms, 107ms, 82ms, 290ms, 83ms, 86ms, 94ms, 84ms]
2000	338.6	# [339ms, 309ms, 309ms, 315ms, 355ms, 324ms, 362ms, 370ms, 340ms, 363ms]
3000	847.5	# [795ms, 869ms, 1034ms, 828ms, 894ms, 814ms, 820ms, 808ms, 809ms, 804ms]
4000	1344.9	# [1246ms, 1266ms, 1232ms, 1281ms, 1306ms, 1367ms, 1629ms, 1408ms, 1392ms, 1322ms]
5000	2270.5	# [2139ms, 2186ms, 2120ms, 2120ms, 2513ms, 2414ms, 2635ms, 2269ms, 2042ms, 2267ms]
6000	3045.0	# [2890ms, 3235ms, 3212ms, 3109ms, 2972ms, 2875ms, 2988ms, 3051ms, 3211ms, 2907ms]
7000	3942.2	# [4039ms, 3984ms, 3856ms, 3937ms, 3902ms, 4001ms, 3804ms, 3944ms, 4057ms, 3898ms]
8000	5056.8	# [4947ms, 5013ms, 5444ms, 5011ms, 5241ms, 4970ms, 5100ms, 5158ms, 4958ms, 4726ms]
9000	6448.4	# [6497ms, 6519ms, 6316ms, 6379ms, 6469ms, 6324ms, 6242ms, 6553ms, 6753ms, 6432ms]
10000	8529.0	# [8386ms, 8803ms, 8790ms, 8408ms, 8249ms, 8733ms, 8842ms, 8275ms, 8584ms, 8220ms]
